lat,lon,local_sla_trend,class
37.0,8.58,2.02,class_3
37.0,14.11,2.35,class_4
37.01,-8.57,3.1,class_4
37.01,-8.56,2.75,class_4
37.01,8.56,2.83,class_4
37.01,8.57,2.31,class_4
37.01,14.11,2.15,class_3
37.01,14.12,2.66,class_4
37.02,-8.56,2.32,class_4
37.02,-8.55,1.58,class_3
37.02,8.56,1.77,class_3
37.02,14.12,2.6,class_4
37.03,-8.55,1.82,class_3
37.03,8.55,1.95,class_3
37.03,8.56,1.21,class_3
37.03,14.13,2.64,class_4
37.04,-8.54,1.71,class_3
37.04,8.55,1.94,class_3
37.04,14.13,3.41,class_4
37.04,14.14,2.16,class_3
37.05,-8.54,1.7,class_3
37.05,-8.53,2.86,class_4
37.05,8.54,2.25,class_3
37.05,14.14,2.52,class_4
37.06,-8.53,2.35,class_4
37.06,8.53,1.66,class_3
37.06,8.54,2.42,class_4
37.07,-8.53,2.66,class_4
37.07,-8.52,0.67,class_3
37.07,8.53,2.14,class_3
37.08,-8.52,1.02,class_3
37.08,8.52,2.04,class_3
37.09,8.51,1.41,class_3
37.09,8.52,1.5,class_3
37.1,8.51,1.7,class_3
37.22,25.59,1.56,class_3
37.23,25.59,3.28,class_4
37.23,25.6,2.63,class_4
37.24,25.6,2.66,class_4
37.25,25.61,2.75,class_4
37.26,25.61,2.95,class_4
37.26,25.62,3.35,class_4
37.27,25.62,2.68,class_4
37.28,25.62,3.92,class_4
37.28,25.63,3.71,class_4
37.29,25.63,2.76,class_4
37.29,25.64,3.08,class_4
37.3,25.64,3.0,class_4
37.31,25.65,3.07,class_4
37.32,25.65,3.18,class_4
37.32,25.66,3.43,class_4
37.33,25.66,2.9,class_4
37.34,25.67,3.3,class_4
37.41,22.88,2.65,class_4
37.42,22.88,3.18,class_4
37.42,22.89,1.91,class_3
37.43,22.89,2.54,class_4
37.44,22.9,3.34,class_4
37.45,22.9,3.13,class_4
37.45,22.91,2.16,class_3
37.46,22.91,3.28,class_4
37.47,22.91,2.04,class_3
37.47,22.92,2.74,class_4
37.66,-8.86,2.67,class_4
37.67,-8.87,2.81,class_4
37.68,-8.88,4.21,class_4
37.68,-8.87,4.02,class_4
37.69,-8.88,2.03,class_3
37.7,-8.89,1.64,class_3
37.71,-8.9,0.82,class_3
37.71,-8.89,1.43,class_3
37.72,-8.91,1.29,class_3
37.72,-8.9,1.14,class_3
37.73,-8.91,2.15,class_3
37.74,-8.92,2.86,class_4
